date,cup,occasion
08-06,CHAT CUP,
08-07,DRAGON CUP,
08-09,FRIENDSHIP CUP,
08-10,DOG CUP,
08-11,SANDWICH CUP,
08-13,GRAPE CUP,
08-14,ICE CREAM CUP,
08-15,PEACE CUP,Day to Remember the War Dead and Pray for Peace (Japan)
08-16,APPLAUSE CUP,
08-18,POETRY CUP,
08-21,TEA CUP,
08-22,MILK CUP,
08-24,MUSIC CUP,
08-27,ENERGY CUP,
08-28,RIBBON CUP,
08-31,SNACK CUP,
09-03,TOWER CUP,
09-07,PUMPKIN CUP,
09-08,READING CUP,
09-09,KIKU CUP,Choyo no Sekku (Japan)
09-11,BREAD CUP,
09-14,DONUT CUP,
09-16,AVOCADO CUP,
09-17,SANDWICH CUP,
09-18,CAKE CUP,
09-20,PIZZA CUP,
09-21,COOKIE CUP,
09-23,BOARD GAME CUP,
09-24,HAPPINESS CUP,National Bluebird of Happiness Day
09-28,BEER CUP,
10-06,FOREST CUP,
10-09,PIZZA CUP,
10-10,CAKE CUP,
10-11,PIZZA CUP,
10-12,SOUP CUP,
10-13,BRAIN CUP,
10-14,CHOCOLATE CUP,
10-17,SLOW CUP,
10-19,SEAFOOD SOUP CUP,
10-20,NUMBERS CUP,
10-21,PASTA CUP,
10-23,CROCODILE CUP,
10-25,PIZZA CUP,
10-26,HORSE CUP,
10-30,SCARF CUP,
10-31,HALLOWEEN CUP,Halloween
11-02,DOG CUP,
11-03,CULTURE CUP,Culture Day (Japan)
11-06,SNACK CUP,
11-07,GRAPE CUP,
11-08,X-RAY CUP,
11-10,NUMBERS CUP,
11-12,SANDWICH CUP,
11-14,PICKLES CUP,
11-15,COOKIE CUP,
11-16,KINDNESS CUP,
11-23,LABOR CUP,Labor Thanksgiving Day (Japan)
11-28,LIGHT CUP,
11-29,MOCHI CUP,
12-01,COOKIE CUP,
12-02,DOG CUP,
12-06,TOMATO SOUP CUP,
12-07,AIRPLANE CUP,
12-14,ORANGE CUP,
12-18,JOURNEY CUP,
12-19,MUSIC CUP,
12-20,FRIENDSHIP CUP,
12-21,COCONUT CUP,
12-22,COOKIE CUP,
12-24,CHRISTMAS EVE CUP,Christmas Eve
12-26,CANDY CUP,
12-29,SOUP CUP,
12-30,BAKING CUP,
12-31,NEW YEAR EVE CUP,New Year's Eve (Japan)
