date,occasion,cup
05-13,World Cocktail Day,COCKTAIL CUP
05-14,National Brioche Day,BREAD CUP
05-15,National Chocolate Chip Day,CHOCOLATE CHIP CUP
05-16,International Day of Light,LIGHT CUP
05-17,National Walnut Day,WALNUT CUP
05-18,International Museum Day (UNESCO),MUSEUM CUP
05-19,National Devil's Food Cake Day (US),CHOCOLATE CAKE CUP
05-20,World Bee Day (UN),BEE CUP
05-21,International Tea Day,TEA CUP
05-22,World Goth Day,FASHION CUP
05-23,World Turtle Day,TURTLE CUP
05-24,International Tiara Day,CROWN CUP
05-25,National Wine Day,WINE CUP
05-26,World Dracula Day,DRACULA CUP
05-27,National Iced Coffee Day,ICED COFFEE CUP
05-28,National Brisket Day,BARBECUE CUP
05-29,International Everest Day,MOUNTAIN CUP
05-30,National Creativity Day,CREATIVITY CUP
05-31,National Smile Day,SMILE CUP
06-01,National Hazelnut Cake Day,CAKE CUP
06-02,National Bubba Day,FRIENDSHIP CUP
06-03,World Bicycle Day,BICYCLE CUP
06-04,National SAFE Day,SAFETY CUP
06-05,World Environment Day (UN),ENVIRONMENT CUP
06-06,National Applesauce Cake Day,APPLE CAKE CUP
06-07,National Chocolate Ice Cream Day,CHOCOLATE ICE CREAM CUP
06-08,World Oceans Day (UN),OCEANS CUP
06-09,International Archives Day,HISTORY CUP
06-10,National Iced Tea Day (US),ICED TEA CUP
06-11,National German Chocolate Cake Day,CHOCOLATE CUP
06-12,National Peanut Butter Cookie Day,PEANUT COOKIE CUP
06-13,World Softball Day,SOFTBALL CUP
06-14,World Blood Donor Day (UN),DONATION CUP
06-15,National Smile Power Day,SMILE CUP
06-16,World Sea Turtle Day,SEA TURTLE CUP
06-17,World Croc Day,CROCODILE CUP
06-18,International Sushi Day,SUSHI CUP
06-19,World Albatross Day,BIRD CUP
06-20,National Ice Cream Soda Day,ICE CREAM SODA CUP
06-21,World Music Day,MUSIC CUP
06-22,National Chocolate Éclair Day,CHOCOLATE ECLAIR CUP
06-23,National Detroit-Style Pizza Day,PIZZA CUP
06-24,World UFO Day,UFO CUP
06-25,National Catfish Day (US),FISH CUP
06-26,National Chocolate Pudding Day,CHOCOLATE PUDDING CUP
06-27,National Ice Cream Cake Day,ICE CREAM CAKE CUP
06-28,National Foodie Day,FOOD CUP
06-29,National Darts Day,DARTS CUP
06-30,International Asteroid Day (UN),ASTEROID CUP
07-01,National Creative Ice Cream Flavor Day,ICE CREAM CUP
07-02,World UFO Day,UFO CUP
07-03,National Chocolate Wafer Day,WAFER CUP
07-04,National Country Music Day,MUSIC CUP
07-05,National Workaholics Day,WORK CUP
07-06,International Kissing Day,LOVE CUP
07-07,Tanabata (Japan),STAR CUP
07-08,National Ice Cream Sundae Day,ICE CREAM CUP
07-09,National Sugar Cookie Day,SUGAR COOKIE CUP
07-10,National Kitten Day,KITTEN CUP
07-11,World Population Day (UN),PEOPLE CUP
07-12,National Michelada Day,SPICE CUP
07-13,National French Fry Day,FRENCH FRY CUP
07-14,International Non-Binary Day,DIVERSITY CUP
07-15,National Respect Canada Day,FRIENDSHIP CUP
07-16,World Snake Day,SNAKE CUP
07-17,World Day for International Justice (UN),FAIRNESS CUP
07-18,World Listening Day,LISTENING CUP
07-19,National Raspberry Cake Day,BERRY CAKE CUP
07-20,World Chess Day,CHESS CUP
07-21,National Junk Food Day,SNACK CUP
07-22,National Mango Day,MANGO CUP
07-23,National Vanilla Ice Cream Day,VANILLA ICE CREAM CUP
07-24,National Tequila Day,AGAVE CUP
07-25,International Decora Day,FASHION CUP
07-26,National Coffee Milkshake Day,COFFEE MILKSHAKE CUP
07-27,National Scotch Day,WHISKY CUP
07-28,National Milk Chocolate Day,MILK CHOCOLATE CUP
07-29,International Tiger Day,TIGER CUP
07-30,"International Day of Friendship (UN, July 30)",FRIENDSHIP CUP
07-31,National Raspberry Cake Day,BERRY CAKE CUP
08-01,World Wide Web Day,WEB CUP
08-02,National Coloring Book Day,COLORING BOOK CUP
08-03,National Watermelon Day,WATERMELON CUP
08-04,National Chocolate Chip Cookie Day,CHOCOLATE CHIP COOKIE CUP
08-05,International Traffic Light Day,TRAFFIC LIGHT CUP
08-06,National Gossip Day,CHAT CUP
08-07,National Sea Serpent Day,DRAGON CUP
08-08,International Cat Day,CAT CUP
08-09,National Veep Day,FRIENDSHIP CUP
08-10,National Spoil Your Dog Day,DOG CUP
08-11,National Panini Day,PANINI CUP
08-12,International Youth Day (UN),YOUTH CUP
08-13,National Prosecco Day,GRAPE CUP
08-14,National Creamsicle Day,ICE CREAM CUP
08-15,Day to Remember the War Dead and Pray for Peace (Japan),PEACE CUP
08-16,World Clap Day,APPLAUSE CUP
08-17,National Black Cat Appreciation Day,BLACK CAT CUP
08-18,National Bad Poetry Day,POETRY CUP
08-19,National Potato Day,POTATO CUP
08-20,International Hawaiian Pizza Day,HAWAIIAN PIZZA CUP
08-21,National Sweet Tea Day,TEA CUP
08-22,World Plant Milk Day,MILK CUP
08-23,National Sponge Cake Day,SPONGE CAKE CUP
08-24,International Strange Music Day,MUSIC CUP
08-25,National Banana Split Day,BANANA SPLIT CUP
08-26,National Dog Day (US),DOG CUP
08-27,National Petroleum Day,ENERGY CUP
08-28,National Bow Tie Day,RIBBON CUP
08-29,International Day Against Nuclear Tests,PEACE CUP
08-30,National Beach Day,BEACH CUP
08-31,National Trail Mix Day,SNACK CUP
09-01,World Letter Writing Day,LETTER WRITING CUP
09-02,World Coconut Day,COCONUT CUP
09-03,National Skyscraper Day,SKYSCRAPER CUP
09-04,National Wildlife Day,WILDLIFE CUP
09-05,National Cheese Pizza Day,CHEESE PIZZA CUP
09-06,National Read a Book Day,READ A BOOK CUP
09-07,National Acorn Squash Day,PUMPKIN CUP
09-08,International Literacy Day (UN),READING CUP
09-09,Choyo no Sekku (Japan),CHRYSANTHEMUM CUP
09-10,International Make-Up Day,MAKE-UP CUP
09-11,National Hot Cross Bun Day,BREAD CUP
09-12,World Dolphin Day,DOLPHIN CUP
09-13,International Chocolate Day,CHOCOLATE CUP
09-14,National Cream-Filled Donut Day,DONUT CUP
09-15,International Day of Democracy (UN),DEMOCRACY CUP
09-16,National Guacamole Day,AVOCADO CUP
09-17,National Monte Cristo Day,SANDWICH CUP
09-18,National Red Velvet Cake Day,CAKE CUP
09-19,International Talk Like a Pirate Day,PIRATE CUP
09-20,National Pepperoni Pizza Day,PIZZA CUP
09-21,National Pecan Cookie Day,COOKIE CUP
09-22,National White Chocolate Day,WHITE CHOCOLATE CUP
09-23,National Checkers Day,BOARD GAME CUP
09-24,National Bluebird of Happiness Day,BLUEBIRD CUP
09-25,National Comic Book Day,COMIC BOOK CUP
09-26,International Lace Day,LACE CUP
09-27,National Chocolate Milk Day,CHOCOLATE MILK CUP
09-28,National Drink Beer Day,BEER CUP
09-29,National Coffee Day,COFFEE CUP
09-30,International Translation Day,TRANSLATION CUP
10-01,International Music Day,MUSIC CUP
10-02,National Fried Scallops Day,SCALLOP CUP
10-03,National Butterfly and Hummingbird Day,BUTTERFLY CUP
10-04,World Animal Day,ANIMAL CUP
10-05,World Teachers' Day (UNESCO),TEACHERS CUP
10-06,National Badger Day,BADGER CUP
10-07,National LED Light Day,LED LIGHT CUP
10-08,World Octopus Day,OCTOPUS CUP
10-09,International Beer and Pizza Day,PIZZA CUP
10-10,National Cake Decorating Day,CAKE CUP
10-11,National Sausage Pizza Day,PIZZA CUP
10-12,National Gumbo Day,SOUP CUP
10-13,National Train Your Brain Day,BRAIN CUP
10-14,National Chocolate-Covered Insect Day,CHOCOLATE CUP
10-15,Global Handwashing Day,HANDWASHING CUP
10-16,World Food Day (UN),FOOD CUP
10-17,International Sloth Day,SLOTH CUP
10-18,National Chocolate Cupcake Day,CHOCOLATE CUPCAKE CUP
10-19,National Seafood Bisque Day,SEAFOOD SOUP CUP
10-20,World Statistics Day (UN),NUMBERS CUP
10-21,World Bolognese Ragù Day,PASTA CUP
10-22,National Color Day,COLOR CUP
10-23,National Croc Day,CROCODILE CUP
10-24,"United Nations Day (1945, UN Charter ratified)",UNITED NATIONS CUP
10-25,World Pizza Makers Day,PIZZA CUP
10-26,National Mule Day,HORSE CUP
10-27,National Potato Day,POTATO CUP
10-28,National Chocolate Day,CHOCOLATE CUP
10-29,National Cat Day,CAT CUP
10-30,National Bandanna Day,SCARF CUP
10-31,Halloween,HALLOWEEN CUP
11-01,World Vegan Day,VEGAN CUP
11-02,International Doge Day,DOG CUP
11-03,Culture Day (Japan),CULTURE CUP
11-04,National Candy Day (US),CANDY CUP
11-05,National Doughnut Appreciation Day,DOUGHNUT CUP
11-06,National Nachos Day,SNACK CUP
11-07,International Merlot Day,GRAPE CUP
11-08,International Radiology Day,X-RAY CUP
11-09,World Freedom Day (US),FREEDOM CUP
11-10,International Accounting Day,NUMBERS CUP
11-11,National Metal Day,METAL CUP
11-12,National French Dip Day,SANDWICH CUP
11-13,World Kindness Day,KINDNESS CUP
11-14,National Pickle Day,PICKLES CUP
11-15,National Spicy Hermit Cookie Day,COOKIE CUP
11-16,International Day for Tolerance (UN),KINDNESS CUP
11-17,International Students' Day (1939),STUDENTS CUP
11-18,National Princess Day,PRINCESS CUP
11-19,International Men's Day,MEN'S CUP
11-20,Universal Children's Day (UN),CHILDREN'S CUP
11-21,World Hello Day,HELLO CUP
11-22,National Kimchi Day (South Korea),KIMCHI CUP
11-23,Labor Thanksgiving Day (Japan),LABOR CUP
11-24,National Sardines Day,SARDINES CUP
11-25,National Parfait Day,PARFAIT CUP
11-26,National Cake Day,CAKE CUP
11-27,National Electric Guitar Day,ELECTRIC GUITAR CUP
11-28,International Aura Awareness Day,LIGHT CUP
11-29,National Rice Cake Day,MOCHI CUP
11-30,National Mousse Day,MOUSSE CUP
12-01,National Cookie Cutter Day,COOKIE CUP
12-02,National Mutt Day,DOG CUP
12-03,National Apple Pie Day,APPLE PIE CUP
12-04,National Cookie Day,COOKIE CUP
12-05,World Soil Day (UN),SOIL CUP
12-06,National Gazpacho Day,TOMATO SOUP CUP
12-07,International Civil Aviation Day (UN),AIRPLANE CUP
12-08,National Christmas Tree Day,CHRISTMAS TREE CUP
12-09,World Techno Day,TECHNO CUP
12-10,"Human Rights Day (UN, 1948, UDHR adopted)",HUMAN RIGHTS CUP
12-11,International Mountain Day (UN),MOUNTAIN CUP
12-12,National Unity Day,UNITY CUP
12-13,National Cocoa Day,COCOA CUP
12-14,National Screwdriver Day,ORANGE CUP
12-15,National Cupcake Day,CUPCAKE CUP
12-16,National Chocolate Covered Anything Day,CHOCOLATE CUP
12-17,National Maple Syrup Day,MAPLE SYRUP CUP
12-18,International Migrants Day (UN),JOURNEY CUP
12-19,National Emo Day,MUSIC CUP
12-20,International Human Solidarity Day (UN),FRIENDSHIP CUP
12-21,National Coquito Day,COCONUT CUP
12-22,National Cookie Exchange Day,COOKIE CUP
12-23,National Bake Day,BAKE CUP
12-24,Christmas Eve,CHRISTMAS EVE CUP
12-25,Christmas Day,CHRISTMAS CUP
12-26,National Candy Cane Day,CANDY CUP
12-27,National Fruitcake Day,FRUITCAKE CUP
12-28,National Chocolate Candy Day,CHOCOLATE CANDY CUP
12-29,National Pepper Pot Day,SOUP CUP
12-30,National Bicarbonate of Soda Day,BAKING CUP
12-31,New Year's Eve (Japan),NEW YEAR EVE CUP
